x_interval,y_interval,count,percentage,Pitch_Number,alpha
"(16.0, 20.0)","(88.0, 92.0)",83,0.2,143,0.289198606271777
"(16.0, 20.0)","(92.0, 96.0)",73,0.18,144,0.25435540069686413
"(16.0, 20.0)","(96.0, 100.0)",59,0.14,145,0.20557491289198607
"(16.0, 20.0)","(100.0, 104.0)",12,0.03,146,0.041811846689895474
"(16.0, 20.0)","(104.0, 108.0)",28,0.07,147,0.0975609756097561
"(16.0, 20.0)","(108.0, 112.0)",24,0.06,148,0.08362369337979095
"(16.0, 20.0)","(112.0, 116.0)",16,0.04,149,0.05574912891986063
"(16.0, 20.0)","(116.0, 120.0)",10,0.02,150,0.03484320557491289
"(20.0, 24.0)","(0.0, 4.0)",17,0.04,151,0.059233449477351915
"(20.0, 24.0)","(4.0, 8.0)",35,0.08,152,0.12195121951219512
"(20.0, 24.0)","(8.0, 12.0)",41,0.1,153,0.14285714285714285
"(20.0, 24.0)","(12.0, 16.0)",59,0.14,154,0.20557491289198607
"(20.0, 24.0)","(16.0, 20.0)",38,0.09,155,0.13240418118466898
"(20.0, 24.0)","(20.0, 24.0)",71,0.17,156,0.24738675958188153
"(20.0, 24.0)","(24.0, 28.0)",67,0.16,157,0.23344947735191637
"(20.0, 24.0)","(28.0, 32.0)",75,0.18,158,0.2613240418118467
"(20.0, 24.0)","(32.0, 36.0)",85,0.2,159,0.2961672473867596
"(20.0, 24.0)","(36.0, 40.0)",78,0.19,160,0.27177700348432055
"(20.0, 24.0)","(40.0, 44.0)",124,0.3,161,0.43205574912891986
"(20.0, 24.0)","(44.0, 48.0)",94,0.23,162,0.32752613240418116
"(20.0, 24.0)","(48.0, 52.0)",155,0.37,163,0.5400696864111498
"(20.0, 24.0)","(52.0, 56.0)",131,0.32,164,0.4564459930313589
"(20.0, 24.0)","(56.0, 60.0)",135,0.33,165,0.47038327526132406
"(20.0, 24.0)","(60.0, 64.0)",115,0.28,166,0.40069686411149824
"(20.0, 24.0)","(64.0, 68.0)",122,0.29,167,0.4250871080139373
"(20.0, 24.0)","(68.0, 72.0)",153,0.37,168,0.5331010452961672
"(20.0, 24.0)","(72.0, 76.0)",70,0.17,169,0.24390243902439024
"(20.0, 24.0)","(76.0, 80.0)",121,0.29,170,0.42160278745644597
"(20.0, 24.0)","(80.0, 84.0)",95,0.23,171,0.3310104529616725
"(20.0, 24.0)","(84.0, 88.0)",93,0.22,172,0.3240418118466899
"(20.0, 24.0)","(88.0, 92.0)",56,0.14,173,0.1951219512195122
"(20.0, 24.0)","(92.0, 96.0)",54,0.13,174,0.18815331010452963
"(20.0, 24.0)","(96.0, 100.0)",67,0.16,175,0.23344947735191637
"(20.0, 24.0)","(100.0, 104.0)",30,0.07,176,0.10452961672473868
"(20.0, 24.0)","(104.0, 108.0)",51,0.12,177,0.17770034843205576
"(20.0, 24.0)","(108.0, 112.0)",34,0.08,178,0.11846689895470383
"(20.0, 24.0)","(112.0, 116.0)",32,0.08,179,0.11149825783972125
"(20.0, 24.0)","(116.0, 120.0)",21,0.05,180,0.07317073170731707
"(24.0, 28.0)","(0.0, 4.0)",18,0.04,181,0.0627177700348432
"(24.0, 28.0)","(4.0, 8.0)",33,0.08,182,0.11498257839721254
"(24.0, 28.0)","(8.0, 12.0)",30,0.07,183,0.10452961672473868
"(24.0, 28.0)","(12.0, 16.0)",62,0.15,184,0.21602787456445993
"(24.0, 28.0)","(16.0, 20.0)",37,0.09,185,0.1289198606271777
"(24.0, 28.0)","(20.0, 24.0)",69,0.17,186,0.24041811846689895
"(24.0, 28.0)","(24.0, 28.0)",75,0.18,187,0.2613240418118467
"(24.0, 28.0)","(28.0, 32.0)",69,0.17,188,0.24041811846689895
"(24.0, 28.0)","(32.0, 36.0)",83,0.2,189,0.289198606271777
"(24.0, 28.0)","(36.0, 40.0)",79,0.19,190,0.27526132404181186
"(24.0, 28.0)","(40.0, 44.0)",126,0.3,191,0.43902439024390244
"(24.0, 28.0)","(44.0, 48.0)",110,0.27,192,0.3832752613240418
"(24.0, 28.0)","(48.0, 52.0)",170,0.41,193,0.5923344947735192
