Pitch_Number,count,x_interval,y_interval,percentage,alpha
92,95.0,"(15.0, 20.0)","(95.0, 100.0)",0.002422604171979395,0.2631578947368421
93,32.0,"(15.0, 20.0)","(100.0, 105.0)",0.0008160350895088489,0.0886426592797784
94,32.0,"(15.0, 20.0)","(105.0, 110.0)",0.0008160350895088489,0.0886426592797784
95,40.0,"(15.0, 20.0)","(110.0, 115.0)",0.001020043861886061,0.11080332409972299
96,17.0,"(15.0, 20.0)","(115.0, 120.0)",0.00043351864130157595,0.04709141274238227
97,27.0,"(20.0, 25.0)","(0.0, 5.0)",0.0006885296067730912,0.07479224376731301
98,58.0,"(20.0, 25.0)","(5.0, 10.0)",0.0014790635997347886,0.16066481994459833
99,71.0,"(20.0, 25.0)","(10.0, 15.0)",0.0018105778548477584,0.19667590027700832
100,74.0,"(20.0, 25.0)","(15.0, 20.0)",0.001887081144489213,0.20498614958448755
101,104.0,"(20.0, 25.0)","(20.0, 25.0)",0.002652114040903759,0.2880886426592798
102,116.0,"(20.0, 25.0)","(25.0, 30.0)",0.002958127199469577,0.32132963988919666
103,123.0,"(20.0, 25.0)","(30.0, 35.0)",0.003136634875299638,0.3407202216066482
104,132.0,"(20.0, 25.0)","(35.0, 40.0)",0.0033661447442240016,0.3656509695290859
105,170.0,"(20.0, 25.0)","(40.0, 45.0)",0.00433518641301576,0.4709141274238227
106,193.0,"(20.0, 25.0)","(45.0, 50.0)",0.004921711633600245,0.5346260387811634
107,170.0,"(20.0, 25.0)","(50.0, 55.0)",0.00433518641301576,0.4709141274238227
108,212.0,"(20.0, 25.0)","(55.0, 60.0)",0.005406232467996124,0.5872576177285319
109,186.0,"(20.0, 25.0)","(60.0, 65.0)",0.004743203957770184,0.5152354570637119
110,186.0,"(20.0, 25.0)","(65.0, 70.0)",0.004743203957770184,0.5152354570637119
111,155.0,"(20.0, 25.0)","(70.0, 75.0)",0.003952669964808486,0.4293628808864266
112,172.0,"(20.0, 25.0)","(75.0, 80.0)",0.004386188606110062,0.47645429362880887
113,158.0,"(20.0, 25.0)","(80.0, 85.0)",0.004029173254449942,0.4376731301939058
114,98.0,"(20.0, 25.0)","(85.0, 90.0)",0.0024991074616208496,0.27146814404432135
115,91.0,"(20.0, 25.0)","(90.0, 95.0)",0.0023205997857907892,0.2520775623268698
116,96.0,"(20.0, 25.0)","(95.0, 100.0)",0.002448105268526547,0.2659279778393352
117,55.0,"(20.0, 25.0)","(100.0, 105.0)",0.001402560310093334,0.1523545706371191
118,58.0,"(20.0, 25.0)","(105.0, 110.0)",0.0014790635997347886,0.16066481994459833
119,50.0,"(20.0, 25.0)","(110.0, 115.0)",0.0012750548273575764,0.13850415512465375
120,32.0,"(20.0, 25.0)","(115.0, 120.0)",0.0008160350895088489,0.0886426592797784
121,25.0,"(25.0, 30.0)","(0.0, 5.0)",0.0006375274136787882,0.06925207756232687
122,64.0,"(25.0, 30.0)","(5.0, 10.0)",0.0016320701790176978,0.1772853185595568
123,71.0,"(25.0, 30.0)","(10.0, 15.0)",0.0018105778548477584,0.19667590027700832
124,58.0,"(25.0, 30.0)","(15.0, 20.0)",0.0014790635997347886,0.16066481994459833
125,88.0,"(25.0, 30.0)","(20.0, 25.0)",0.0022440964961493344,0.24376731301939059
126,127.0,"(25.0, 30.0)","(25.0, 30.0)",0.003238639261488244,0.3518005540166205
127,87.0,"(25.0, 30.0)","(30.0, 35.0)",0.002218595399602183,0.2409972299168975
